TS	X	Y	Direction	Line_Man	Column_Man
0	1354.6735622664794	452.4144211968847	1	4	2
1	1535.345503341698	452.4144211968847	1	4.0	2.0
2	1716.0174444169168	452.4144211968847	1	4.0	2.0
3	1896.6893854921354	452.4144211968847	1	4.0	2.0
4	2077.361326567354	452.4144211968847	1	4.0	2.0
5	2258.0332676425724	452.4144211968847	1	4.0	2.0
6	2438.705208717791	452.4144211968847	1	4.0	2.0
7	2619.3771497930093	452.4144211968847	1	4.0	2.0
8	2800.0490908682277	452.4144211968847	1	4.0	2.0
9	2980.721031943446	452.4144211968847	1	4.0	2.0
10	3161.3929730186646	452.4144211968847	1	4.0	2.0
11	3342.064914093883	452.4144211968847	1	4.0	2.0
12	3522.7368551691015	452.4144211968847	1	4.0	2.0
13	3703.40879624432	452.4144211968847	1	4.0	2.0
14	3884.0807373195385	452.4144211968847	1	4.0	2.0
15	4064.752678394757	452.4144211968847	1	4.0	2.0
16	4245.424619469975	452.4144211968847	1	4.0	2.0
17	4426.096560545194	452.4144211968847	1	4.0	2.0
18	4606.768501620412	452.4144211968847	1	4.0	2.0
19	4787.440442695631	452.4144211968847	1	4.0	2.0
20	4968.112383770849	452.4144211968847	1	4.0	2.0
21	4847.215675153932	452.4144211968847	0	4.0	2.0
22	4666.543734078714	452.4144211968847	0	4.0	2.0
23	4485.871793003495	452.4144211968847	0	4.0	2.0
24	4305.199851928277	452.4144211968847	0	4.0	2.0
25	4166	493.88651034382616	1	4.0	2.0
26	4166	674.5584514190448	1	4.0	2.0
27	4144.7696075057365	834	0	4.0	2.0
28	3964.097666430518	834	0	4.0	2.0
29	3783.4257253552996	834	0	4.0	2.0
30	3602.753784280081	834	0	4.0	2.0
31	3422.0818432048627	834	0	4.0	2.0
32	3241.4099021296443	834	0	4.0	2.0
33	3060.737961054426	834	0	4.0	2.0
34	2880.0660199792073	834	0	4.0	2.0
35	2699.394078903989	834	0	4.0	2.0
36	2518.7221378287704	834	0	4.0	2.0
37	2338.050196753552	834	0	4.0	2.0
38	2157.3782556783335	834	0	4.0	2.0
39	1976.7063146031148	834	0	4.0	2.0
40	1796.0343735278962	834	0	4.0	2.0
41	1667	885.6375675473225	1	4.0	2.0
42	1667	1066.3095086225412	1	4.0	2.0
43	1667	1246.98144969776	1	4.0	2.0
44	1667	1427.6533907729786	1	4.0	2.0
45	1667	1608.3253318481973	1	4.0	2.0
46	1667	1788.997272923416	1	4.0	2.0
47	1667	1969.6692139986346	1	4.0	2.0
48	1667	2150.3411550738533	1	4.0	2.0
49	1667	2331.0130961490718	1	4.0	2.0
50	1667	2511.68503722429	1	4.0	2.0
51	1667	2692.3569782995087	1	4.0	2.0
52	1667	2873.028919374727	1	4.0	2.0
53	1667	3053.7008604499456	1	4.0	2.0
54	1667	3234.372801525164	1	4.0	2.0
