TS	X	Y	Direction	Line_Man	Column_Man
0	782.7866013701735	2702.6848785842717	0	3	1
1	552.8360948106341	2702.6848785842717	0	3.0	1.0
2	322.88558825109476	2702.6848785842717	0	3.0	1.0
3	92.93508169155541	2702.6848785842717	0	3.0	1.0
4	1	2564.6694537162875	0	3.0	1.0
5	1	2334.718947156748	0	3.0	1.0
6	1	2104.7684405972086	0	3.0	1.0
7	1	1874.8179340376691	0	3.0	1.0
8	1	1644.8674274781297	0	3.0	1.0
9	1	1414.9169209185902	0	3.0	1.0
10	1	1184.9664143590508	0	3.0	1.0
11	1	955.0159077995114	0	3.0	1.0
12	1	725.0654012399721	0	3.0	1.0
13	1	495.1148946804327	0	3.0	1.0
14	1	265.16438812089336	0	3.0	1.0
15	1	35.213881561354015	0	3.0	1.0
16	1	1	1	3.0	1.0
17	230.95050655953935	1	1	3.0	1.0
18	460.9010131190787	1	1	3.0	1.0
19	690.851519678618	1	1	3.0	1.0
20	920.8020262381574	1	1	3.0	1.0
21	1150.7525327976969	1	1	3.0	1.0
22	1380.7030393572363	1	1	3.0	1.0
23	1610.6535459167758	1	1	3.0	1.0
24	1840.6040524763152	1	1	3.0	1.0
25	2070.5545590358547	1	1	3.0	1.0
26	2300.505065595394	1	1	3.0	1.0
27	2530.4555721549336	1	1	3.0	1.0
28	2760.406078714473	1	1	3.0	1.0
29	2990.3565852740126	1	1	3.0	1.0
30	3220.307091833552	1	1	3.0	1.0
31	3450.2575983930915	1	1	3.0	1.0
32	3680.208104952631	1	1	3.0	1.0
33	3910.1586115121704	1	1	3.0	1.0
34	4140.109118071709	1	1	3.0	1.0
35	4370.059624631249	1	1	3.0	1.0
36	4600.010131190788	1	1	3.0	1.0
37	4829.960637750328	1	1	3.0	1.0
38	4936.088855690133	1	0	3.0	1.0
39	4706.138349130593	1	0	3.0	1.0
40	4476.187842571054	1	0	3.0	1.0
41	4246.237336011514	1	0	3.0	1.0
42	4166	1	1	3.0	1.0
43	4395.9505065595395	1	1	3.0	1.0
44	4625.901013119079	1	1	3.0	1.0
45	4855.851519678618	1	1	3.0	1.0
46	4910.197973761842	1	0	3.0	1.0
47	4680.247467202303	1	0	3.0	1.0
48	4450.296960642763	1	0	3.0	1.0
49	4220.346454083224	1	0	3.0	1.0
50	3990.3959475236843	1	0	3.0	1.0
51	3760.445440964145	1	0	3.0	1.0
52	3530.4949344046054	1	0	3.0	1.0
53	3300.544427845066	1	0	3.0	1.0
54	3070.5939212855264	1	0	3.0	1.0
