EpNum	EpSteps	Reward	ener	dist
1	9	396	468.0	0.0
2	9	396	468.0	0.0
3	9	396	468.0	0.0
4	9	396	468.0	0.0
5	9	396	468.0	0.0
6	9	396	468.0	0.0
7	9	396	468.0	0.0
8	9	396	468.0	0.0
9	9	396	468.0	0.0
10	9	396	468.0	0.0
11	9	396	468.0	0.0
12	9	396	468.0	0.0
13	9	396	468.0	0.0
14	9	396	468.0	0.0
15	9	396	468.0	0.0
16	9	396	468.0	0.0
17	9	396	468.0	0.0
18	9	396	468.0	0.0
19	9	396	468.0	0.0
20	9	396	468.0	0.0
21	9	396	468.0	0.0
22	9	396	468.0	0.0
23	9	396	468.0	0.0
24	9	396	468.0	0.0
25	9	396	468.0	0.0
26	9	396	468.0	0.0
27	9	396	468.0	0.0
28	9	396	468.0	0.0
29	9	396	468.0	0.0
30	9	396	468.0	0.0
31	9	396	468.0	0.0
32	9	396	468.0	0.0
33	9	396	468.0	0.0
34	9	396	468.0	0.0
35	9	396	468.0	0.0
36	9	396	468.0	0.0
37	9	396	468.0	0.0
38	9	396	468.0	0.0
39	9	396	468.0	0.0
40	9	396	468.0	0.0
41	9	396	468.0	0.0
42	9	396	468.0	0.0
43	9	396	468.0	0.0
44	9	396	468.0	0.0
45	9	396	468.0	0.0
46	9	396	468.0	0.0
47	9	396	468.0	0.0
48	9	396	468.0	0.0
49	9	396	468.0	0.0
50	9	396	468.0	0.0
51	9	396	468.0	0.0
52	9	396	468.0	0.0
53	9	396	468.0	0.0
54	9	396	468.0	0.0
55	9	396	468.0	0.0
56	9	396	468.0	0.0
57	9	396	468.0	0.0
58	9	396	468.0	0.0
59	9	396	468.0	0.0
60	9	396	468.0	0.0
61	9	396	468.0	0.0
62	9	396	468.0	0.0
63	9	396	468.0	0.0
64	9	396	468.0	0.0
65	9	396	468.0	0.0
66	9	396	468.0	0.0
67	9	396	468.0	0.0
68	9	396	468.0	0.0
69	9	396	468.0	0.0
70	9	396	468.0	0.0
71	9	396	468.0	0.0
72	9	396	468.0	0.0
73	9	396	468.0	0.0
74	9	396	468.0	0.0
75	9	396	468.0	0.0
76	9	396	468.0	0.0
77	9	396	468.0	0.0
78	9	396	468.0	0.0
79	9	396	468.0	0.0
80	9	396	468.0	0.0
81	9	396	468.0	0.0
82	9	396	468.0	0.0
83	9	396	468.0	0.0
84	9	396	468.0	0.0
85	9	396	468.0	0.0
86	9	396	468.0	0.0
