Steps_BL	Reward_BL	ener_BL	dist_BL
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
9	396	468.0	0.0
