TS	X	Y	Direction	Line_Man	Column_Man
0	822.7795174861368	554.6299195810228	1	1	2
1	995.9295555710296	554.6299195810228	1	1.0	2.0
2	1169.0795936559225	554.6299195810228	1	1.0	2.0
3	1342.2296317408154	554.6299195810228	1	1.0	2.0
4	1515.3796698257083	554.6299195810228	1	1.0	2.0
5	1688.5297079106012	554.6299195810228	1	1.0	2.0
6	1861.6797459954942	554.6299195810228	1	1.0	2.0
7	2034.829784080387	554.6299195810228	1	1.0	2.0
8	2207.97982216528	554.6299195810228	1	1.0	2.0
9	2381.129860250173	554.6299195810228	1	1.0	2.0
10	2554.279898335066	554.6299195810228	1	1.0	2.0
11	2727.4299364199587	554.6299195810228	1	1.0	2.0
12	2900.5799745048516	554.6299195810228	1	1.0	2.0
13	3073.7300125897445	554.6299195810228	1	1.0	2.0
14	3246.8800506746375	554.6299195810228	1	1.0	2.0
15	3420.0300887595304	554.6299195810228	1	1.0	2.0
16	3593.1801268444233	554.6299195810228	1	1.0	2.0
17	3766.330164929316	554.6299195810228	1	1.0	2.0
18	3939.480203014209	554.6299195810228	1	1.0	2.0
19	4112.630241099102	554.6299195810228	1	1.0	2.0
20	4285.780279183995	554.6299195810228	1	1.0	2.0
21	4458.930317268888	554.6299195810228	1	1.0	2.0
22	4632.080355353781	554.6299195810228	1	1.0	2.0
23	4805.230393438674	554.6299195810228	1	1.0	2.0
24	4978.380431523567	554.6299195810228	1	1.0	2.0
25	4844.4695303915405	554.6299195810228	0	1.0	2.0
26	4671.319492306648	554.6299195810228	0	1.0	2.0
27	4498.169454221755	554.6299195810228	0	1.0	2.0
28	4325.019416136862	554.6299195810228	0	1.0	2.0
29	4151.869378051969	554.6299195810228	0	1.0	2.0
30	3978.719339967076	554.6299195810228	0	1.0	2.0
31	3805.569301882183	554.6299195810228	0	1.0	2.0
32	3632.41926379729	554.6299195810228	0	1.0	2.0
33	3459.269225712397	554.6299195810228	0	1.0	2.0
34	3333	601.5107319535185	1	1.0	2.0
35	3333	774.6607700384113	1	1.0	2.0
36	3333	947.8108081233041	1	1.0	2.0
37	3333	1120.960846208197	1	1.0	2.0
38	3333	1294.1108842930898	1	1.0	2.0
39	3333	1467.2609223779828	1	1.0	2.0
40	3333	1640.4109604628757	1	1.0	2.0
41	3479.5609985477686	1667	1	1.0	2.0
42	3652.7110366326615	1667	1	1.0	2.0
43	3825.8610747175544	1667	1	1.0	2.0
44	3999.0111128024473	1667	1	1.0	2.0
45	4172.16115088734	1667	1	1.0	2.0
46	4345.311188972233	1667	1	1.0	2.0
47	4518.461227057126	1667	1	1.0	2.0
48	4691.611265142019	1667	1	1.0	2.0
49	4864.761303226912	1667	1	1.0	2.0
50	4958.088658688195	1667	0	1.0	2.0
51	4784.938620603302	1667	0	1.0	2.0
52	4611.788582518409	1667	0	1.0	2.0
53	4438.6385444335165	1667	0	1.0	2.0
54	4265.488506348624	1667	0	1.0	2.0
