EpNum	EpSteps	Reward	ener	dist	NumCovTargets
13	36	73	333368.3426701972	0.0	10	[(833, 833), (0, 1666), (833, 833), (833, 0), (0, 833), (833, 1666), (1666, 833), (2499, 0), (1666, 833), (833, 833), (833, 1666), (833, 833), (1666, 1666), (833, 833), (833, 1666), (833, 833), (1666, 833), (2499, 1666), (2499, 2499), (3332, 3332), (4165, 2499), (4165, 1666), (4165, 833)]
14	32	76	338404.38666938245	0.0	10	[(833, 0), (1666, 833), (1666, 0), (2499, 0), (1666, 0), (1666, 833), (1666, 1666), (1666, 2499), (2499, 3332), (1666, 3332), (1666, 2499), (833, 1666), (1666, 1666), (2499, 2499), (1666, 2499), (833, 1666), (1666, 833), (2499, 1666), (1666, 833), (833, 833), (0, 1666), (0, 2499), (833, 2499), (1666, 2499), (2499, 3332), (3332, 3332)]
15	21	85	201484.549335506	0.0	10	[(833, 833), (1666, 0), (2499, 833), (1666, 1666), (1666, 2499), (1666, 1666), (2499, 833), (3332, 1666), (2499, 1666), (2499, 2499), (3332, 1666), (3332, 833), (4165, 1666), (4165, 833)]
16	30	78	312402.10533632064	0.0	10	[(833, 0), (1666, 833), (2499, 1666), (3332, 833), (3332, 0), (2499, 0), (2499, 833), (3332, 1666), (4165, 1666), (3332, 1666), (4165, 2499), (3332, 1666), (3332, 833), (3332, 1666), (2499, 2499), (1666, 1666), (2499, 1666), (1666, 833), (1666, 0), (833, 0), (1666, 0), (833, 833), (1666, 0)]
17	47	61	430483.4613371355	0.0	10	[(833, 833), (0, 833), (0, 0), (833, 833), (1666, 1666), (833, 833), (0, 833), (833, 833), (833, 0), (1666, 833), (1666, 1666), (2499, 833), (3332, 1666), (4165, 2499), (4165, 1666), (3332, 2499), (4165, 2499), (3332, 3332), (2499, 3332), (3332, 4165), (4165, 3332), (4165, 2499), (4165, 1666), (3332, 1666), (2499, 1666), (3332, 2499), (3332, 3332), (3332, 2499), (4165, 2499), (3332, 2499), (4165, 3332)]
18	54	42	453307.66133713553	0.0	9	[(833, 833), (0, 0), (833, 833), (0, 0), (833, 833), (1666, 0), (833, 0), (1666, 0), (833, 833), (0, 1666), (0, 2499), (0, 1666), (0, 2499), (0, 1666), (0, 2499), (833, 2499), (0, 2499), (833, 3332), (1666, 3332), (833, 4165), (1666, 3332), (833, 2499), (1666, 3332), (1666, 4165), (2499, 4165), (3332, 4165), (2499, 4165), (3332, 4165), (2499, 4165), (1666, 3332), (833, 3332), (1666, 3332)]
19	36	73	346259.949335506	0.0	10	[(833, 0), (0, 0), (833, 833), (0, 1666), (0, 2499), (0, 1666), (833, 833), (1666, 833), (833, 0), (0, 0), (833, 0), (833, 833), (0, 833), (833, 0), (833, 833), (1666, 0), (1666, 833), (2499, 833), (3332, 833), (4165, 833), (3332, 0), (2499, 0), (1666, 833), (1666, 1666), (2499, 1666), (2499, 2499), (1666, 2499)]
20	54	33	457651.94267019734	0.0	8	[(0, 833), (833, 833), (1666, 1666), (833, 2499), (0, 2499), (833, 2499), (0, 2499), (0, 3332), (833, 3332), (1666, 4165), (833, 4165), (1666, 4165), (2499, 3332), (1666, 3332), (833, 4165), (0, 4165), (833, 4165), (0, 4165), (833, 3332), (1666, 4165), (833, 3332), (1666, 4165), (2499, 4165), (1666, 4165), (1666, 3332), (833, 4165), (1666, 4165), (833, 3332), (0, 4165), (833, 4165), (0, 3332), (0, 4165), (0, 3332)]
21	37	70	361998.1800040738	0.0	10	[(833, 833), (1666, 1666), (1666, 833), (833, 1666), (0, 1666), (833, 1666), (0, 833), (833, 1666), (1666, 1666), (833, 1666), (1666, 2499), (2499, 2499), (2499, 1666), (1666, 2499), (833, 1666), (1666, 2499), (2499, 3332), (1666, 4165), (833, 4165), (0, 3332), (833, 4165), (0, 4165), (0, 3332), (833, 2499), (0, 1666)]
22	54	44	546514.8920057032	0.0	9	[(833, 833), (1666, 833), (2499, 1666), (1666, 833), (1666, 0), (833, 833), (833, 0), (1666, 833), (2499, 1666), (3332, 833), (4165, 1666), (4165, 2499), (3332, 1666), (3332, 833), (4165, 1666), (4165, 2499), (3332, 2499), (3332, 3332), (2499, 4165), (3332, 3332), (2499, 3332), (2499, 4165), (3332, 4165), (4165, 3332), (3332, 2499), (2499, 2499), (3332, 3332), (2499, 4165), (3332, 4165), (2499, 3332), (3332, 3332), (2499, 2499), (3332, 1666), (3332, 833), (4165, 1666), (3332, 2499), (3332, 1666), (3332, 833), (2499, 833)]
23	54	44	502083.41733795026	0.0	9	[(833, 0), (1666, 0), (2499, 833), (2499, 1666), (1666, 833), (2499, 833), (2499, 0), (1666, 0), (833, 833), (833, 1666), (0, 2499), (0, 1666), (833, 2499), (833, 3332), (833, 4165), (0, 3332), (833, 3332), (833, 4165), (1666, 3332), (833, 3332), (0, 2499), (0, 1666), (833, 1666), (1666, 2499), (2499, 1666), (3332, 2499), (4165, 3332), (3332, 2499), (2499, 1666), (1666, 2499), (1666, 1666), (833, 833), (0, 1666), (0, 2499), (0, 1666), (0, 833)]
24	54	43	461996.224003259	0.0	9	[(833, 833), (1666, 0), (1666, 833), (833, 1666), (1666, 2499), (833, 2499), (1666, 1666), (833, 1666), (833, 833), (0, 1666), (0, 2499), (833, 3332), (833, 4165), (0, 4165), (0, 3332), (833, 3332), (1666, 4165), (2499, 4165), (1666, 4165), (1666, 3332), (2499, 3332), (2499, 2499), (3332, 2499), (3332, 1666), (2499, 1666), (1666, 1666), (1666, 2499), (833, 1666), (0, 2499), (0, 1666), (833, 2499), (833, 3332), (1666, 2499), (2499, 2499)]
25	25	81	200510.31200162947	0.0	10	[(833, 833), (833, 0), (1666, 0), (1666, 833), (833, 833), (1666, 1666), (1666, 2499), (2499, 3332), (3332, 2499), (2499, 2499), (2499, 1666), (1666, 2499), (833, 3332), (1666, 3332)]
26	26	80	277774.6680024442	0.0	10	[(833, 0), (1666, 833), (833, 833), (1666, 1666), (2499, 2499), (1666, 2499), (833, 1666), (0, 1666), (0, 833), (833, 833), (1666, 1666), (2499, 1666), (1666, 833), (833, 833), (1666, 833), (833, 1666), (1666, 833), (1666, 0), (1666, 833), (2499, 1666), (2499, 833)]
27	27	82	213338.5120016295	0.0	10	[(0, 833), (833, 833), (833, 1666), (0, 833), (833, 0), (833, 833), (833, 0), (0, 0), (833, 0), (0, 833), (833, 1666), (1666, 833), (1666, 0), (1666, 833), (2499, 1666)]
28	54	33	479797.06133713556	0.0	8	[(833, 833), (1666, 1666), (833, 2499), (833, 3332), (833, 4165), (0, 3332), (0, 4165), (833, 4165), (833, 3332), (833, 4165), (0, 4165), (833, 4165), (0, 4165), (833, 4165), (0, 3332), (833, 4165), (1666, 4165), (833, 3332), (833, 2499), (0, 2499), (0, 1666), (0, 833), (833, 0), (833, 833), (0, 1666), (833, 833), (0, 1666), (833, 2499), (1666, 3332), (2499, 4165), (1666, 4165), (2499, 4165), (2499, 3332), (2499, 2499), (2499, 3332)]
29	54	44	466340.50533632084	0.0	9	[(833, 0), (833, 833), (0, 0), (833, 833), (833, 1666), (0, 1666), (833, 1666), (0, 2499), (0, 1666), (833, 2499), (0, 3332), (833, 2499), (1666, 2499), (1666, 3332), (1666, 4165), (2499, 3332), (2499, 2499), (1666, 1666), (1666, 2499), (2499, 3332), (3332, 3332), (3332, 4165), (2499, 4165), (2499, 3332), (2499, 2499), (3332, 2499), (4165, 2499), (3332, 1666), (3332, 2499), (3332, 3332), (2499, 3332), (3332, 3332), (2499, 4165), (3332, 4165), (4165, 4165)]
