Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
27	54	53	294	-44	-44	292383	165421.1186669384	416999.8000000002
