Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
17	21	156	90	87	-49
