Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
25	100	93	83	-35	14	1300	2150.5910524340024	4888.0
26	100	92	82	-35	15	1352	2150.5910524340024	4836.0
