EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	25	40	962.156420973604	0.0	7
2	25	60	1324.9301576774105	0.0	9
3	25	30	1239.4519471906087	0.0	6
4	25	60	1111.5737367038066	0.0	9
5	25	40	1069.1737367038068	0.0	7
6	25	19	1388.869262920811	0.0	5
7	25	60	1175.5128419472076	0.0	9
8	25	-3	1046.956420973604	0.0	3
9	25	51	1047.634631460406	0.0	8
10	25	50	1196.3737367038063	0.0	8
11	25	18	622.2782104868021	0.0	5
12	25	19	1302.7128419472076	0.0	5
13	25	28	983.6955262170051	0.0	6
14	25	60	1580.6865786510139	0.0	9
15	25	50	1132.4346314604059	0.0	8
16	25	18	1153.2955262170049	0.0	5
17	25	29	1153.9737367038067	0.0	6
18	25	40	1047.634631460406	0.0	7
19	25	29	1026.0955262170048	0.0	6
20	25	29	1068.495526217005	0.0	6
21	25	18	877.356420973604	0.0	5
22	25	39	1111.5737367038066	0.0	7
23	25	49	1175.5128419472076	0.0	8
24	25	29	1367.3301576774104	0.0	6
25	25	60	1091.3910524340097	0.0	9
26	25	29	1153.9737367038067	0.0	6
27	25	39	1217.9128419472077	0.0	7
28	25	52	1304.0692629208113	0.0	8
29	25	8	834.956420973604	0.0	4
30	25	61	1452.1301576774101	0.0	9
31	25	-3	1090.0346314604058	0.0	3
32	25	30	1153.9737367038067	0.0	6
33	25	28	1026.7737367038067	0.0	6
34	25	29	1175.5128419472076	0.0	6
35	25	49	1347.147473407613	0.0	8
36	25	51	1153.9737367038067	0.0	8
37	25	40	1366.6519471906083	0.0	7
38	25	59	1154.6519471906086	0.0	9
39	25	-3	1004.556420973604	0.0	3
40	25	28	1238.7737367038067	0.0	6
41	25	39	898.2173157302029	0.0	7
42	25	40	1388.1910524340094	0.0	7
43	25	29	1345.7910524340093	0.0	6
44	25	18	1090.7128419472078	0.0	5
45	25	38	1154.6519471906086	0.0	7
46	25	7	1069.1737367038068	0.0	4
47	25	50	941.9737367038069	0.0	8
48	25	39	1154.651947190608	0.0	7
49	25	29	1048.3128419472077	0.0	6
50	25	39	1174.834631460406	0.0	7
51	25	60	1005.2346314604059	0.0	9
52	25	59	1176.1910524340094	0.0	9
53	25	39	855.8173157302031	0.0	7
54	25	39	1005.912841947208	0.0	7
55	25	-3	1026.773736703807	0.0	3
56	25	60	920.4346314604059	0.0	9
57	25	39	834.956420973604	0.0	7
58	25	29	1026.0955262170048	0.0	6
59	25	39	1303.3910524340095	0.0	7
60	25	60	1090.7128419472078	0.0	9
61	25	49	1091.39105243401	0.0	8
62	25	39	1303.3910524340092	0.0	7
63	25	59	1005.9128419472079	0.0	9
64	25	59	1281.8519471906081	0.0	9
65	25	48	1154.6519471906088	0.0	8
66	25	39	1260.3128419472075	0.0	7
67	18	77	874.7737367038068	0.0	10
68	25	49	1260.9910524340096	0.0	8
69	25	60	1324.9301576774103	0.0	9
70	25	59	1324.93015767741	0.0	9
71	25	18	898.895526217005	0.0	5
72	25	49	1133.1128419472077	0.0	8
73	25	29	1006.5910524340098	0.0	6
74	25	40	878.034631460406	0.0	7
75	25	29	1048.3128419472077	0.0	6
76	25	71	1240.1301576774104	0.0	10
77	25	41	1281.8519471906084	0.0	7
78	25	40	920.4346314604061	0.0	7
79	25	41	1197.73015767741	0.0	7
80	23	73	1177.8519471906084	0.0	10
81	25	61	1367.3301576774102	0.0	9
82	25	39	791.8782104868022	0.0	7
83	25	38	962.156420973604	0.0	7
84	25	29	1176.1910524340096	0.0	6
85	25	51	1324.9301576774103	0.0	8
86	25	50	1409.7301576774103	0.0	8
87	25	51	1175.5128419472076	0.0	8
88	20	75	893.2955262170049	0.0	10
89	25	49	1174.8346314604055	0.0	8
90	25	50	1239.4519471906085	0.0	8
91	25	48	1367.3301576774102	0.0	8
92	25	28	857.1737367038068	0.0	6
93	25	59	1388.869262920811	0.0	9
94	25	51	1154.6519471906083	0.0	8
95	25	61	1132.4346314604059	0.0	9
96	25	62	1196.3737367038066	0.0	9
97	25	70	1367.3301576774104	0.0	10
98	25	60	1495.208368164212	0.0	9
99	14	82	793.9737367038067	0.0	10
100	25	60	1260.9910524340096	0.0	9
101	25	50	1154.6519471906086	0.0	8
102	25	49	856.495526217005	0.0	8
103	25	49	962.834631460406	0.0	8
104	25	60	1154.6519471906086	0.0	9
105	25	50	1367.3301576774104	0.0	8
106	25	61	1112.9301576774105	0.0	9
107	20	76	1084.4346314604059	0.0	10
108	25	61	1197.7301576774105	0.0	9
109	25	28	1027.451947190609	0.0	6
110	25	61	1153.9737367038067	0.0	9
111	25	30	1156.0083681642118	0.0	6
112	25	61	1175.5128419472078	0.0	9
113	25	61	1304.747473407613	0.0	9
114	25	60	919.756420973604	0.0	9
115	25	60	963.5128419472079	0.0	9
116	25	41	1027.4519471906087	0.0	7
117	25	28	920.434631460406	0.0	6
118	25	51	1238.7737367038064	0.0	8
119	25	60	1303.3910524340095	0.0	9
120	25	51	1026.773736703807	0.0	8
121	24	71	1399.4519471906087	0.0	10
122	25	59	1366.6519471906086	0.0	9
123	25	49	984.3737367038069	0.0	8
124	25	28	1410.4083681642119	0.0	6
125	25	17	814.0955262170052	0.0	5
126	17	79	737.295526217005	0.0	10
127	25	50	1133.1128419472077	0.0	8
128	25	62	1367.3301576774104	0.0	9
129	24	72	953.2346314604059	0.0	10
130	25	59	1367.3301576774104	0.0	9
131	25	60	962.834631460406	0.0	9
132	25	49	1240.1301576774104	0.0	8
133	25	61	1175.5128419472076	0.0	9
