TS	X	Y
0	833	2499
1	3332	2499
2	833	0
3	4165	2499
4	3332	4165
5	0	1666
6	3332	2499
7	4165	0
8	3332	2499
9	3332	4165
10	833	0
11	833	2499
12	3332	2499
13	3332	4165
14	3332	4165
15	1666	2499
16	3332	4165
17	833	2499
18	4165	2499
19	833	2499
20	3332	4165
21	0	4165
22	0	1666
23	4165	2499
24	4165	2499
25	0	4165
26	3332	4165
27	3332	4165
28	833	0
29	833	2499
30	4165	2499
31	3332	4165
32	833	2499
33	3332	4165
34	1666	4165
35	4165	1666
36	4165	0
37	833	0
38	0	4165
39	3332	4165
40	0	1666
41	833	2499
42	4165	1666
43	3332	4165
44	833	2499
45	3332	2499
46	4165	0
47	833	2499
48	4165	2499
49	833	0
50	4165	0
51	3332	2499
52	4165	2499
53	833	0
54	0	4165
55	4165	2499
56	833	2499
57	833	2499
58	3332	2499
59	4165	2499
60	3332	2499
61	3332	4165
62	3332	2499
63	4165	0
64	833	2499
65	4165	0
66	4165	1666
67	4165	1666
68	0	4165
69	3332	2499
70	3332	2499
71	833	0
72	4165	2499
73	0	4165
74	4165	1666
75	3332	2499
76	3332	4165
77	4165	1666
78	3332	4165
79	3332	4165
80	3332	2499
81	833	2499
82	4165	2499
83	3332	4165
84	4165	2499
85	4165	2499
86	833	2499
87	3332	4165
88	4165	2499
89	4165	2499
90	833	2499
91	833	3332
92	3332	4165
93	833	2499
94	3332	2499
95	833	2499
96	4165	1666
97	3332	2499
98	4165	2499
99	4165	2499
100	3332	4165
101	833	0
102	3332	2499
103	4165	0
104	0	4165
105	4165	2499
106	833	2499
107	4165	2499
