TS	X	Y	Direction	Line_Man	Column_Man
0	1053.065593784811	2201.876634304318	0	3	2
1	911.4024369110384	2201.876634304318	0	3.0	2.0
2	769.7392800372659	2201.876634304318	0	3.0	2.0
3	628.0761231634933	2201.876634304318	0	3.0	2.0
4	601	2087.289600594039	0	3.0	2.0
5	601	1945.6264437202663	0	3.0	2.0
6	601	1803.9632868464937	0	3.0	2.0
7	601	1662.3001299727212	0	3.0	2.0
8	601	1520.6369730989486	0	3.0	2.0
9	601	1378.973816225176	0	3.0	2.0
10	601	1237.3106593514035	0	3.0	2.0
11	601	1095.647502477631	0	3.0	2.0
12	601	953.9843456038584	0	3.0	2.0
13	601	812.3211887300859	0	3.0	2.0
14	601	670.6580318563133	0	3.0	2.0
15	528.9948749825408	601	0	3.0	2.0
16	387.3317181087682	601	0	3.0	2.0
17	245.66856123499562	601	0	3.0	2.0
18	104.00540436122304	601	0	3.0	2.0
19	1	639.6577525125496	1	3.0	2.0
20	1	781.3209093863221	1	3.0	2.0
21	1	922.9840662600947	1	3.0	2.0
22	1	1064.6472231338673	1	3.0	2.0
23	1	1206.3103800076399	1	3.0	2.0
24	1	1347.9735368814124	1	3.0	2.0
25	1	1489.636693755185	1	3.0	2.0
26	1	1631.2998506289575	1	3.0	2.0
27	1	1772.96300750273	1	3.0	2.0
28	1	1914.6261643765026	1	3.0	2.0
29	1	2056.2893212502754	1	3.0	2.0
30	1	2197.952478124048	1	3.0	2.0
31	1	2339.6156349978205	1	3.0	2.0
32	81.27879187159306	2401	1	3.0	2.0
33	222.94194874536564	2401	1	3.0	2.0
34	364.6051056191382	2401	1	3.0	2.0
35	506.2682624929108	2401	1	3.0	2.0
36	647.9314193666834	2401	1	3.0	2.0
37	789.5945762404559	2401	1	3.0	2.0
38	931.2577331142285	2401	1	3.0	2.0
