TS	X	Y
0	44.39417891247229	924.4809006779949
1	46.7436027839891	924.0814926488517
2	46.70123159468904	924.5361093865904
3	45.24234874522214	924.9103122039816
4	44.26219656246193	924.5990434755953
5	45.783062980114565	925.2361907114599
6	113.01352588681678	924.8025680555801
7	190.30558963170486	923.9959738781862
8	264.6001620762286	923.9295954898666
9	343.392338949269	924.9446331581249
10	357.95736349226513	924.3247253942832
11	359.7610134991006	924.6171965565297
12	360.4391423246507	923.5260107441891
13	359.9877483165661	924.6899978048343
