TS	X	Y
0	46.248640918758795	923.6202014613139
1	45.76757180699904	923.5953011204085
2	44.66290761694908	924.214748511768
3	46.48887843527484	923.6013526474372
4	45.75802208799214	924.7556607495331
5	45.56299109334456	924.1507111847707
6	111.57773575746606	923.8372921012293
7	189.18677108475927	924.9730304145646
8	266.0602524597948	923.6010030120389
9	341.28616274764073	923.5706252343709
10	360.3385989521046	924.3162286732385
11	360.6747232089528	924.0119210376771
12	359.7500584909028	923.5891231789788
13	360.2289385138567	924.399683048775
