TS	X	Y	Direction	Line_Man	Column_Man
0	10.961071291908144	9.241824366482042	1	1	2
1	11.9926474036622	9.241824366482042	1	1.0	2.0
2	10.975776484583744	9.241824366482042	0	1.0	2.0
3	9.944200372829687	9.241824366482042	0	1.0	2.0
4	8.912624261075631	9.241824366482042	0	1.0	2.0
5	7.8810481493215745	9.241824366482042	0	1.0	2.0
6	6.8494720375675175	9.241824366482042	0	1.0	2.0
7	5.817895925813461	9.241824366482042	0	1.0	2.0
8	4.786319814059404	9.241824366482042	0	1.0	2.0
9	3.7547437023053467	9.241824366482042	0	1.0	2.0
10	2.7231675905512898	9.241824366482042	0	1.0	2.0
11	1.691591478797233	9.241824366482042	0	1.0	2.0
12	0.6600153670431763	9.241824366482042	0	1.0	2.0
13	0.3715607447108804	9.241824366482042	1	1.0	2.0
14	1.4031368564649371	9.241824366482042	1	1.0	2.0
