TS	X	Y	Direction	Line_Man	Column_Man
0	492.7385381593528	224.4222675532496	0	1	1
1	401.9585800638904	224.4222675532496	0	1.0	1.0
2	334	247.24364558482156	1	1.0	1.0
3	338.02360368028394	334	1	1.0	1.0
4	428.8035617757463	334	1	1.0	1.0
5	519.5835198712086	334	1	1.0	1.0
6	610.363477966671	334	1	1.0	1.0
7	667	299.85656393786667	0	1.0	1.0
8	667	209.0766058424043	0	1.0	1.0
9	667	118.29664774694191	0	1.0	1.0
10	667	27.51668965147954	0	1.0	1.0
11	602.7367315560172	1	0	1.0	1.0
12	511.9567734605548	1	0	1.0	1.0
13	421.17681536509247	1	0	1.0	1.0
14	330.3968572696301	1	0	1.0	1.0
