EpNum	EpSteps	Reward	ener
2885	6	98	291.1391052
2886	7	98	300.7391052
2887	6	99	291.1391052
2888	7	97	279.2
2889	8	96	288.8
2890	7	98	279.2
2891	9	96	298.4
2892	6	98	291.1391052
2893	8	98	352.7391052
2894	18	76	830.3391052
2895	7	99	343.1391052
2896	6	98	291.1391052
2897	7	98	343.1391052
2898	18	67	385.4782105
2899	6	98	291.1391052
2900	7	98	300.7391052
2901	7	97	279.2
2902	6	98	291.1391052
2903	6	99	291.1391052
2904	6	98	291.1391052
2905	6	99	291.1391052
2906	7	98	300.7391052
2907	9	96	362.3391052
2908	8	97	288.8
2909	6	98	291.1391052
2910	7	98	279.2
2911	16	91	557.4173157
2912	6	98	291.1391052
2913	6	98	291.1391052
2914	6	98	291.1391052
2915	7	98	300.7391052
2916	6	98	291.1391052
2917	8	97	288.8
2918	7	98	300.7391052
2919	6	99	291.1391052
2920	7	98	279.2
2921	6	99	291.1391052
2922	15	89	568.6782105
2923	6	98	291.1391052
2924	6	99	291.1391052
2925	7	98	322.2782105
2926	7	97	300.7391052
2927	8	99	352.7391052
2928	7	98	300.7391052
2929	18	76	385.4782105
2930	14	92	410.3391052
2931	6	98	291.1391052
2932	7	97	300.7391052
2933	7	97	300.7391052
2934	6	98	291.1391052
2935	5	99	260.6782105
2936	6	98	291.1391052
2937	18	46	491.8173157
2938	6	98	291.1391052
2939	17	88	439.1391052
2940	7	97	279.2
2941	8	97	288.8
2942	8	97	288.8
2943	6	98	269.6
2944	6	98	269.6
2945	6	98	269.6
2946	8	96	288.8
2947	7	98	279.2
2948	14	91	516
2949	10	95	435.8782105
2950	6	98	269.6
2951	6	98	269.6
2952	7	98	279.2
2953	7	98	321.6
2954	6	98	269.6
2955	7	98	279.2
2956	7	98	279.2
2957	6	99	291.1391052
2958	7	98	279.2
2959	7	97	279.2
2960	6	98	291.1391052
2961	13	93	358.3391052
2962	16	89	493.4782105
2963	6	99	291.1391052
2964	18	76	554.4
2965	7	99	279.2
2966	6	98	269.6
2967	9	96	298.4
2968	6	99	291.1391052
2969	8	97	288.8
2970	6	98	291.1391052
2971	6	98	291.1391052
2972	8	97	288.8
2973	9	98	319.9391052
2974	6	99	291.1391052
2975	6	99	291.1391052
2976	6	99	291.1391052
2977	6	98	291.1391052
2978	7	98	300.7391052
2979	6	98	312.6782105
2980	18	77	449.4173157
2981	6	98	269.6
2982	6	98	269.6
2983	7	98	279.2
2984	9	97	340.8
2985	6	99	291.1391052
2986	7	98	279.2
2987	6	99	291.1391052
2988	7	98	279.2
2989	7	98	279.2
2990	7	97	279.2
2991	7	98	279.2
2992	18	76	449.4173157
2993	6	98	269.6
2994	7	98	300.7391052
2995	16	89	493.4782105
2996	8	97	288.8
2997	6	98	291.1391052
2998	7	98	279.2
2999	6	98	291.1391052
3000	8	96	395.1391052
3001	7	97	343.1391052
3002	7	98	279.2
3003	7	97	343.1391052
3004	7	97	279.2
3005	8	97	374.2782105
3006	6	98	291.1391052
3007	8	98	310.3391052
3008	6	98	291.1391052
3009	6	98	291.1391052
3010	6	98	291.1391052
3011	8	97	288.8
3012	6	98	291.1391052
3013	7	99	343.1391052
3014	7	98	343.1391052
3015	6	98	291.1391052
3016	6	98	291.1391052
3017	6	98	291.1391052
3018	9	97	362.3391052
3019	7	99	343.1391052
3020	8	97	288.8
