TS	X	Y
0	3332	2499
1	833	2499
2	1666	1666
3	4165	0
4	3332	3332
5	1666	1666
6	0	0
7	2499	4165
8	1666	0
9	3332	833
10	3332	3332
11	833	0
12	0	2499
13	833	2499
14	2499	3332
15	3332	3332
16	2499	1666
17	2499	833
18	2499	3332
19	1666	1666
20	3332	833
21	833	4165
22	833	2499
23	2499	2499
24	2499	3332
25	2499	1666
26	3332	833
27	3332	833
28	0	2499
29	2499	3332
30	0	3332
31	833	1666
32	3332	0
33	3332	2499
34	3332	833
35	3332	3332
36	3332	833
37	0	0
38	3332	833
39	833	0
40	833	2499
41	1666	0
42	1666	0
43	4165	1666
44	0	0
45	0	833
46	3332	3332
47	2499	833
48	3332	1666
49	0	0
50	2499	1666
51	0	1666
52	2499	4165
53	3332	833
54	2499	1666
