TS	X	Y	Direction	Line_Man	Column_Man
0	435.7012193818107	2780.6344889277498	0	4	1
1	230.92209046053787	2780.6344889277498	0	4.0	1.0
2	26.14296153926506	2780.6344889277498	0	4.0	1.0
3	178.63616738200776	2780.6344889277498	1	4.0	1.0
4	383.41529630328057	2780.6344889277498	1	4.0	1.0
5	588.1944252245534	2780.6344889277498	1	4.0	1.0
6	792.9735541458261	2780.6344889277498	1	4.0	1.0
7	997.7526830670989	2780.6344889277498	1	4.0	1.0
8	1202.5318119883718	2780.6344889277498	1	4.0	1.0
9	1407.3109409096446	2780.6344889277498	1	4.0	1.0
10	1612.0900698309174	2780.6344889277498	1	4.0	1.0
11	1816.8691987521902	2780.6344889277498	1	4.0	1.0
12	2021.648327673463	2780.6344889277498	1	4.0	1.0
13	2226.4274565947358	2780.6344889277498	1	4.0	1.0
14	2431.2065855160085	2780.6344889277498	1	4.0	1.0
15	2635.9857144372813	2780.6344889277498	1	4.0	1.0
16	2840.764843358554	2780.6344889277498	1	4.0	1.0
17	3045.543972279827	2780.6344889277498	1	4.0	1.0
18	3250.3231012010997	2780.6344889277498	1	4.0	1.0
19	3455.1022301223725	2780.6344889277498	1	4.0	1.0
20	3659.8813590436453	2780.6344889277498	1	4.0	1.0
21	3864.660487964918	2780.6344889277498	1	4.0	1.0
22	4069.439616886191	2780.6344889277498	1	4.0	1.0
23	4274.218745807464	2780.6344889277498	1	4.0	1.0
24	4478.997874728737	2780.6344889277498	1	4.0	1.0
25	4683.77700365001	2780.6344889277498	1	4.0	1.0
26	4888.556132571282	2780.6344889277498	1	4.0	1.0
27	4902.664738507445	2780.6344889277498	0	4.0	1.0
28	4697.885609586172	2780.6344889277498	0	4.0	1.0
29	4493.106480664899	2780.6344889277498	0	4.0	1.0
30	4288.327351743626	2780.6344889277498	0	4.0	1.0
31	4166	2698.1827117501034	0	4.0	1.0
32	4166	2493.4035828288306	0	4.0	1.0
33	4166	2288.624453907558	0	4.0	1.0
34	4166	2083.845324986285	0	4.0	1.0
35	4166	1879.0661960650123	0	4.0	1.0
36	4166	1674.2870671437395	0	4.0	1.0
