TS	X	Y	Direction	Line_Man	Column_Man
0	4097.582052627356	2382.840995758233	0	5	5
1	3873.088154614833	2382.840995758233	0	5.0	5.0
2	3648.5942566023105	2382.840995758233	0	5.0	5.0
3	3424.100358589788	2382.840995758233	0	5.0	5.0
4	3199.6064605772654	2382.840995758233	0	5.0	5.0
5	2975.112562564743	2382.840995758233	0	5.0	5.0
6	2750.6186645522203	2382.840995758233	0	5.0	5.0
7	2526.1247665396977	2382.840995758233	0	5.0	5.0
8	2301.630868527175	2382.840995758233	0	5.0	5.0
9	2077.1369705146526	2382.840995758233	0	5.0	5.0
10	1852.6430725021298	2382.840995758233	0	5.0	5.0
11	1628.149174489607	2382.840995758233	0	5.0	5.0
12	1403.6552764770843	2382.840995758233	0	5.0	5.0
13	1179.1613784645615	2382.840995758233	0	5.0	5.0
14	954.6674804520387	2382.840995758233	0	5.0	5.0
15	834	2279.014578197749	0	5.0	5.0
16	834	2054.5206801852264	0	5.0	5.0
17	834	1830.0267821727036	0	5.0	5.0
18	834	1605.5328841601809	0	5.0	5.0
19	834	1381.038986147658	0	5.0	5.0
20	834	1156.5450881351353	0	5.0	5.0
21	834	932.0511901226125	0	5.0	5.0
22	834	707.5572921100897	0	5.0	5.0
23	834	483.06339409756697	0	5.0	5.0
24	834	258.5694960850442	0	5.0	5.0
25	834	34.075598072521444	0	5.0	5.0
26	642.5817000599986	1	0	5.0	5.0
27	418.08780204747586	1	0	5.0	5.0
28	193.5939040349531	1	0	5.0	5.0
29	30.899993977569636	1	1	5.0	5.0
30	255.39389199009238	1	1	5.0	5.0
31	479.88779000261513	1	1	5.0	5.0
32	704.3816880151379	1	1	5.0	5.0
33	928.8755860276607	1	1	5.0	5.0
34	1153.3694840401834	1	1	5.0	5.0
35	1377.8633820527061	1	1	5.0	5.0
36	1602.357280065229	1	1	5.0	5.0
