TS	X	Y	Direction	Line_Man	Column_Man
0	2133.886344079358	1941.6242003637462	1	3	2
1	2323.9582632940137	1941.6242003637462	1	3.0	2.0
2	2514.0301825086694	1941.6242003637462	1	3.0	2.0
3	2704.102101723325	1941.6242003637462	1	3.0	2.0
4	2894.174020937981	1941.6242003637462	1	3.0	2.0
5	3084.2459401526366	1941.6242003637462	1	3.0	2.0
6	3274.3178593672924	1941.6242003637462	1	3.0	2.0
7	3464.389778581948	1941.6242003637462	1	3.0	2.0
8	3654.461697796604	1941.6242003637462	1	3.0	2.0
9	3844.5336170112596	1941.6242003637462	1	3.0	2.0
10	4034.6055362259153	1941.6242003637462	1	3.0	2.0
11	4224.677455440571	1941.6242003637462	1	3.0	2.0
12	4414.749374655227	1941.6242003637462	1	3.0	2.0
13	4604.821293869883	1941.6242003637462	1	3.0	2.0
14	4794.89321308454	1941.6242003637462	1	3.0	2.0
15	4984.965132299196	1941.6242003637462	1	3.0	2.0
16	5175.037051513852	1941.6242003637462	1	3.0	2.0
17	5365.108970728508	1941.6242003637462	1	3.0	2.0
18	5555.180889943164	1941.6242003637462	1	3.0	2.0
19	5745.252809157821	1941.6242003637462	1	3.0	2.0
20	5935.324728372477	1941.6242003637462	1	3.0	2.0
21	6125.396647587133	1941.6242003637462	1	3.0	2.0
22	6315.468566801789	1941.6242003637462	1	3.0	2.0
23	6505.540486016445	1941.6242003637462	1	3.0	2.0
24	6695.612405231102	1941.6242003637462	1	3.0	2.0
25	6885.684324445758	1941.6242003637462	1	3.0	2.0
26	6924.243756339586	1941.6242003637462	0	3.0	2.0
27	6734.17183712493	1941.6242003637462	0	3.0	2.0
28	6544.099917910274	1941.6242003637462	0	3.0	2.0
29	6354.0279986956175	1941.6242003637462	0	3.0	2.0
30	6163.956079480961	1941.6242003637462	0	3.0	2.0
31	6001	1914.5083606300514	0	3.0	2.0
32	6001	1724.4364414153956	0	3.0	2.0
33	6001	1534.3645222007399	0	3.0	2.0
34	6001	1344.2926029860841	0	3.0	2.0
35	6001	1154.2206837714284	0	3.0	2.0
36	6001	964.1487645567726	0	3.0	2.0
37	6001	774.0768453421167	0	3.0	2.0
38	6001	584.0049261274609	0	3.0	2.0
39	6001	393.933006912805	0	3.0	2.0
40	6001	203.86108769814916	0	3.0	2.0
41	6001	13.789168483493313	0	3.0	2.0
42	5823.717249268838	1	0	3.0	2.0
43	5633.645330054182	1	0	3.0	2.0
44	5443.573410839525	1	0	3.0	2.0
45	5253.501491624869	1	0	3.0	2.0
46	5063.429572410213	1	0	3.0	2.0
47	4873.357653195557	1	0	3.0	2.0
48	4683.285733980901	1	0	3.0	2.0
49	4493.2138147662445	1	0	3.0	2.0
50	4303.141895551588	1	0	3.0	2.0
51	4113.069976336932	1	0	3.0	2.0
52	3922.9980571222764	1	0	3.0	2.0
53	3732.9261379076206	1	0	3.0	2.0
54	3542.854218692965	1	0	3.0	2.0
55	3352.782299478309	1	0	3.0	2.0
56	3162.7103802636534	1	0	3.0	2.0
57	3001	29.36153895100233	1	3.0	2.0
58	3001	219.43345816565818	1	3.0	2.0
59	3001	409.50537738031403	1	3.0	2.0
60	3001	599.5772965949699	1	3.0	2.0
61	3001	789.6492158096257	1	3.0	2.0
62	3001	979.7211350242816	1	3.0	2.0
63	2832.2069457610623	1001	0	3.0	2.0
64	2642.1350265464066	1001	0	3.0	2.0
65	2452.063107331751	1001	0	3.0	2.0
66	2261.991188117095	1001	0	3.0	2.0
67	2071.9192689024394	1001	0	3.0	2.0
68	1881.8473496877837	1001	0	3.0	2.0
69	1691.775430473128	1001	0	3.0	2.0
70	1501.7035112584722	1001	0	3.0	2.0
71	1311.6315920438165	1001	0	3.0	2.0
72	1121.5596728291607	1001	0	3.0	2.0
73	931.4877536145049	1001	0	3.0	2.0
74	741.415834399849	1001	0	3.0	2.0
