TS	X	Y	Direction	Line_Man	Column_Man
0	5696.213671523856	2637.660810406177	1	1	6
1	5870.654679415001	2637.660810406177	1	1.0	6.0
2	6001	2593.565123100031	0	1.0	6.0
3	6001	2419.124115208886	0	1.0	6.0
4	6001	2244.683107317741	0	1.0	6.0
5	6001	2070.242099426596	0	1.0	6.0
6	6001	1895.8010915354505	0	1.0	6.0
7	6001	1721.3600836443052	0	1.0	6.0
8	6001	1546.9190757531599	0	1.0	6.0
9	6001	1372.4780678620145	0	1.0	6.0
10	6001	1198.0370599708692	0	1.0	6.0
11	6001	1023.5960520797239	0	1.0	6.0
12	6001	849.1550441885786	0	1.0	6.0
13	6001	674.7140362974333	0	1.0	6.0
14	6001	500.273028406288	0	1.0	6.0
15	6001	325.83202051514274	0	1.0	6.0
16	6001	151.39101262399748	0	1.0	6.0
17	5976.950004732852	1	0	1.0	6.0
18	5802.508996841707	1	0	1.0	6.0
19	5628.067988950562	1	0	1.0	6.0
20	5453.626981059417	1	0	1.0	6.0
21	5279.185973168272	1	0	1.0	6.0
22	5104.7449652771265	1	0	1.0	6.0
23	4930.303957385981	1	0	1.0	6.0
24	4755.862949494836	1	0	1.0	6.0
25	4581.421941603691	1	0	1.0	6.0
26	4406.980933712546	1	0	1.0	6.0
27	4232.539925821401	1	0	1.0	6.0
28	4058.098917930256	1	0	1.0	6.0
29	3883.657910039111	1	0	1.0	6.0
30	3709.216902147966	1	0	1.0	6.0
31	3534.7758942568207	1	0	1.0	6.0
32	3360.3348863656756	1	0	1.0	6.0
33	3185.8938784745305	1	0	1.0	6.0
34	3011.4528705833854	1	0	1.0	6.0
35	2837.0118626922404	1	0	1.0	6.0
36	2662.5708548010953	1	0	1.0	6.0
37	2488.12984690995	1	0	1.0	6.0
38	2313.688839018805	1	0	1.0	6.0
39	2139.24783112766	1	0	1.0	6.0
40	1964.8068232365147	1	0	1.0	6.0
41	1790.3658153453694	1	0	1.0	6.0
42	1615.924807454224	1	0	1.0	6.0
43	1441.4837995630787	1	0	1.0	6.0
44	1267.0427916719334	1	0	1.0	6.0
45	1092.601783780788	1	0	1.0	6.0
46	1001	83.83922411035724	1	1.0	6.0
47	1001	258.2802320015025	1	1.0	6.0
48	1001	432.72123989264776	1	1.0	6.0
49	1001	607.162247783793	1	1.0	6.0
50	1001	781.6032556749383	1	1.0	6.0
51	1001	956.0442635660836	1	1.0	6.0
52	1001	1130.485271457229	1	1.0	6.0
53	1001	1304.9262793483742	1	1.0	6.0
54	1001	1479.3672872395196	1	1.0	6.0
55	1001	1653.8082951306649	1	1.0	6.0
56	1001	1828.2493030218102	1	1.0	6.0
57	1001	2002.6903109129555	1	1.0	6.0
58	1001	2177.131318804101	1	1.0	6.0
59	1001	2351.572326695246	1	1.0	6.0
60	1001	2526.013334586391	1	1.0	6.0
61	1001	2700.454342477536	1	1.0	6.0
62	1001	2874.895350368681	1	1.0	6.0
63	1001	3049.3363582598263	1	1.0	6.0
64	1001	3223.7773661509714	1	1.0	6.0
65	1001	3398.2183740421165	1	1.0	6.0
66	1001	3572.6593819332616	1	1.0	6.0
67	1001	3747.1003898244066	1	1.0	6.0
68	1001	3921.5413977155517	1	1.0	6.0
69	1001	4095.982405606697	1	1.0	6.0
70	1001	4270.423413497842	1	1.0	6.0
71	1001	4444.8644213889875	1	1.0	6.0
72	1001	4619.305429280133	1	1.0	6.0
73	1001	4793.746437171278	1	1.0	6.0
74	1001	4968.187445062423	1	1.0	6.0
