TS	X	Y
0	3332	1666
1	0	0
2	1666	1666
3	1666	0
4	1666	833
5	833	2499
6	0	0
7	833	833
8	4165	0
9	1666	1666
10	0	4165
11	1666	0
12	3332	1666
13	1666	833
14	0	3332
15	4165	4165
16	4165	3332
17	1666	4165
18	1666	0
19	1666	3332
20	833	3332
21	1666	3332
22	3332	2499
23	2499	1666
24	4165	2499
25	3332	0
26	4165	3332
27	3332	3332
28	1666	0
29	1666	833
30	3332	2499
31	3332	4165
32	833	1666
33	3332	1666
34	0	0
35	833	2499
36	3332	1666
37	1666	833
38	1666	0
39	3332	1666
40	833	1666
41	0	3332
42	833	1666
43	1666	833
44	3332	3332
45	1666	0
46	833	1666
47	1666	3332
48	1666	1666
49	833	0
50	0	2499
51	833	2499
52	3332	1666
53	3332	2499
54	3332	4165
