TS	X	Y
0	3332	1666
1	2499	3332
2	3332	0
3	2499	3332
4	4165	4165
5	2499	4165
6	2499	2499
7	2499	4165
8	3332	0
9	2499	2499
10	1666	2499
11	2499	2499
12	2499	4165
13	3332	0
14	2499	2499
15	0	1666
16	3332	0
17	1666	4165
18	833	1666
19	2499	2499
20	3332	0
21	2499	4165
22	2499	4165
23	2499	3332
24	2499	3332
25	0	0
26	3332	0
27	2499	0
28	4165	4165
29	1666	1666
30	1666	2499
31	2499	1666
32	2499	2499
33	3332	0
34	2499	3332
35	0	0
36	0	833
37	4165	4165
38	833	2499
39	1666	1666
40	2499	0
41	0	4165
42	833	833
43	4165	833
44	4165	3332
45	3332	2499
46	833	0
47	4165	833
48	2499	3332
49	2499	2499
50	3332	833
51	2499	2499
52	2499	2499
53	3332	0
54	833	3332
