EpNum	EpSteps	Reward	ener	dist
227	7	86	364.0	0.0
228	16	79	832.0	0.0
229	7	77	364.0	0.0
230	7	77	364.0	0.0
231	21	66	1092.0	0.0
232	7	78	364.0	0.0
233	15	70	780.0	0.0
234	7	88	364.0	0.0
235	18	78	936.0	0.0
236	16	80	832.0	0.0
237	14	72	728.0	0.0
238	15	70	780.0	0.0
239	16	69	832.0	0.0
240	7	67	364.0	0.0
241	15	59	780.0	0.0
242	15	70	780.0	0.0
243	7	87	364.0	0.0
244	7	87	364.0	0.0
245	16	79	832.0	0.0
246	7	79	364.0	0.0
247	16	70	832.0	0.0
248	7	79	364.0	0.0
249	15	81	780.0	0.0
250	7	89	364.0	0.0
251	16	80	832.0	0.0
252	9	76	468.0	0.0
253	15	70	780.0	0.0
254	7	88	364.0	0.0
255	7	89	364.0	0.0
256	7	89	364.0	0.0
257	21	75	1092.0	0.0
258	7	78	364.0	0.0
259	15	80	780.0	0.0
260	16	79	832.0	0.0
261	7	77	364.0	0.0
262	16	79	832.0	0.0
263	7	77	364.0	0.0
264	8	87	416.0	0.0
265	16	79	832.0	0.0
266	16	69	832.0	0.0
267	7	67	364.0	0.0
268	7	67	364.0	0.0
269	7	67	364.0	0.0
270	7	88	364.0	0.0
271	7	89	364.0	0.0
272	7	79	364.0	0.0
273	7	78	364.0	0.0
274	15	81	780.0	0.0
275	15	80	780.0	0.0
276	15	71	780.0	0.0
277	8	87	416.0	0.0
278	8	87	416.0	0.0
279	15	71	780.0	0.0
280	8	87	416.0	0.0
281	7	77	364.0	0.0
282	7	66	364.0	0.0
283	8	77	416.0	0.0
284	11	85	572.0	0.0
285	7	77	364.0	0.0
286	15	71	780.0	0.0
287	16	79	832.0	0.0
288	8	77	416.0	0.0
289	13	73	676.0	0.0
290	7	77	364.0	0.0
291	7	77	364.0	0.0
292	13	83	676.0	0.0
293	8	88	416.0	0.0
294	7	87	364.0	0.0
295	7	87	364.0	0.0
296	7	88	364.0	0.0
297	7	89	364.0	0.0
298	16	81	832.0	0.0
299	8	67	416.0	0.0
300	8	78	416.0	0.0
301	16	80	832.0	0.0
302	7	67	364.0	0.0
303	8	77	416.0	0.0
304	7	90	364.0	0.0
305	15	82	780.0	0.0
306	16	78	832.0	0.0
307	15	71	780.0	0.0
308	16	70	832.0	0.0
309	7	77	364.0	0.0
310	7	87	364.0	0.0
311	18	78	936.0	0.0
312	7	86	364.0	0.0
313	11	73	572.0	0.0
314	15	71	780.0	0.0
315	7	77	364.0	0.0
316	8	87	416.0	0.0
317	13	83	676.0	0.0
318	7	88	364.0	0.0
319	7	88	364.0	0.0
320	7	88	364.0	0.0
321	7	87	364.0	0.0
322	7	88	364.0	0.0
323	16	80	832.0	0.0
324	7	66	364.0	0.0
325	7	57	364.0	0.0
326	7	66	364.0	0.0
327	14	80	728.0	0.0
328	7	77	364.0	0.0
329	15	70	780.0	0.0
330	7	86	364.0	0.0
331	7	87	364.0	0.0
332	16	79	832.0	0.0
333	7	67	364.0	0.0
334	7	78	364.0	0.0
335	15	70	780.0	0.0
336	15	70	780.0	0.0
337	8	77	416.0	0.0
338	13	73	676.0	0.0
339	8	77	416.0	0.0
340	7	76	364.0	0.0
341	7	66	364.0	0.0
342	7	77	364.0	0.0
343	7	88	364.0	0.0
344	7	88	364.0	0.0
345	7	88	364.0	0.0
346	12	74	624.0	0.0
347	13	83	676.0	0.0
348	16	70	832.0	0.0
349	7	77	364.0	0.0
350	7	78	364.0	0.0
351	7	68	364.0	0.0
352	7	66	364.0	0.0
353	12	72	624.0	0.0
354	7	78	364.0	0.0
355	7	77	364.0	0.0
356	7	88	364.0	0.0
357	7	88	364.0	0.0
358	22	74	1144.0	0.0
359	7	88	364.0	0.0
360	15	81	780.0	0.0
361	7	87	364.0	0.0
362	7	87	364.0	0.0
363	11	86	572.0	0.0
364	15	81	780.0	0.0
365	16	80	832.0	0.0
366	16	70	832.0	0.0
367	13	73	676.0	0.0
368	13	83	676.0	0.0
369	7	88	364.0	0.0
370	7	87	364.0	0.0
371	12	83	624.0	0.0
372	8	78	416.0	0.0
373	15	71	780.0	0.0
374	15	60	780.0	0.0
375	7	66	364.0	0.0
376	7	87	364.0	0.0
377	8	88	416.0	0.0
378	8	88	416.0	0.0
379	15	81	780.0	0.0
380	7	87	364.0	0.0
381	15	70	780.0	0.0
382	15	81	780.0	0.0
383	7	87	364.0	0.0
384	8	87	416.0	0.0
385	15	80	780.0	0.0
386	16	79	832.0	0.0
387	7	57	364.0	0.0
388	7	88	364.0	0.0
389	14	80	728.0	0.0
390	7	87	364.0	0.0
391	7	87	364.0	0.0
392	16	79	832.0	0.0
393	7	57	364.0	0.0
394	7	67	364.0	0.0
395	7	67	364.0	0.0
396	7	77	364.0	0.0
397	7	88	364.0	0.0
398	16	81	832.0	0.0
399	7	67	364.0	0.0
400	8	77	416.0	0.0
401	15	71	780.0	0.0
402	16	78	832.0	0.0
403	15	70	780.0	0.0
404	7	77	364.0	0.0
405	7	88	364.0	0.0
406	7	79	364.0	0.0
407	7	89	364.0	0.0
408	7	87	364.0	0.0
409	15	81	780.0	0.0
410	7	77	364.0	0.0
411	7	77	364.0	0.0
412	7	88	364.0	0.0
413	16	80	832.0	0.0
414	16	69	832.0	0.0
415	7	77	364.0	0.0
416	7	87	364.0	0.0
417	8	88	416.0	0.0
418	14	83	728.0	0.0
419	13	71	676.0	0.0
420	7	77	364.0	0.0
421	15	81	780.0	0.0
422	7	77	364.0	0.0
423	15	71	780.0	0.0
424	7	77	364.0	0.0
425	7	66	364.0	0.0
426	7	77	364.0	0.0
427	7	77	364.0	0.0
428	16	69	832.0	0.0
429	7	67	364.0	0.0
430	7	89	364.0	0.0
431	16	80	832.0	0.0
432	7	57	364.0	0.0
433	7	67	364.0	0.0
434	7	77	364.0	0.0
435	16	79	832.0	0.0
436	7	77	364.0	0.0
437	7	77	364.0	0.0
438	16	69	832.0	0.0
439	16	70	832.0	0.0
440	7	78	364.0	0.0
441	16	70	832.0	0.0
442	7	66	364.0	0.0
443	7	76	364.0	0.0
444	8	77	416.0	0.0
445	8	77	416.0	0.0
446	7	78	364.0	0.0
447	7	78	364.0	0.0
448	7	77	364.0	0.0
449	16	70	832.0	0.0
450	11	74	572.0	0.0
451	11	84	572.0	0.0
452	11	84	572.0	0.0
453	8	78	416.0	0.0
454	15	71	780.0	0.0
455	7	77	364.0	0.0
456	7	87	364.0	0.0
457	24	72	1248.0	0.0
458	8	88	416.0	0.0
459	8	87	416.0	0.0
460	16	80	832.0	0.0
461	8	78	416.0	0.0
462	7	78	364.0	0.0
463	15	80	780.0	0.0
464	7	88	364.0	0.0
465	16	79	832.0	0.0
466	15	70	780.0	0.0
467	7	77	364.0	0.0
468	8	88	416.0	0.0
469	16	80	832.0	0.0
470	7	79	364.0	0.0
471	7	78	364.0	0.0
472	7	79	364.0	0.0
473	7	90	364.0	0.0
474	15	70	780.0	0.0
475	7	88	364.0	0.0
476	8	87	416.0	0.0
477	11	73	572.0	0.0
478	14	71	728.0	0.0
479	8	87	416.0	0.0
480	15	71	780.0	0.0
481	16	80	832.0	0.0
482	7	68	364.0	0.0
483	8	66	416.0	0.0
484	8	76	416.0	0.0
485	8	78	416.0	0.0
486	7	78	364.0	0.0
487	7	77	364.0	0.0
488	21	64	1092.0	0.0
489	7	88	364.0	0.0
490	15	80	780.0	0.0
491	15	70	780.0	0.0
492	7	87	364.0	0.0
493	7	88	364.0	0.0
494	19	77	988.0	0.0
495	11	75	572.0	0.0
496	15	70	780.0	0.0
497	14	61	728.0	0.0
498	20	76	1040.0	0.0
499	7	89	364.0	0.0
500	16	81	832.0	0.0
501	16	70	832.0	0.0
502	7	66	364.0	0.0
503	7	78	364.0	0.0
504	13	82	676.0	0.0
505	7	88	364.0	0.0
506	8	88	416.0	0.0
507	8	78	416.0	0.0
508	17	81	884.0	0.0
509	15	69	780.0	0.0
510	7	87	364.0	0.0
511	7	87	364.0	0.0
512	7	89	364.0	0.0
513	16	81	832.0	0.0
514	8	77	416.0	0.0
515	8	76	416.0	0.0
516	15	70	780.0	0.0
517	7	77	364.0	0.0
518	7	87	364.0	0.0
519	7	89	364.0	0.0
520	7	89	364.0	0.0
521	7	88	364.0	0.0
522	11	87	572.0	0.0
523	15	70	780.0	0.0
524	15	81	780.0	0.0
525	13	72	676.0	0.0
526	8	88	416.0	0.0
527	15	81	780.0	0.0
528	7	89	364.0	0.0
529	7	89	364.0	0.0
530	7	88	364.0	0.0
531	7	87	364.0	0.0
532	16	79	832.0	0.0
533	7	68	364.0	0.0
534	7	66	364.0	0.0
535	9	75	468.0	0.0
536	16	79	832.0	0.0
537	7	79	364.0	0.0
538	7	78	364.0	0.0
539	8	77	416.0	0.0
540	15	69	780.0	0.0
541	8	87	416.0	0.0
542	11	84	572.0	0.0
543	16	81	832.0	0.0
544	7	77	364.0	0.0
545	15	80	780.0	0.0
546	8	87	416.0	0.0
547	16	81	832.0	0.0
548	15	49	780.0	0.0
549	7	68	364.0	0.0
550	8	78	416.0	0.0
551	15	82	780.0	0.0
552	12	73	624.0	0.0
553	15	81	780.0	0.0
554	12	84	624.0	0.0
555	22	75	1144.0	0.0
556	7	79	364.0	0.0
557	16	81	832.0	0.0
558	15	59	780.0	0.0
559	7	77	364.0	0.0
560	8	76	416.0	0.0
561	7	77	364.0	0.0
562	7	77	364.0	0.0
563	13	71	676.0	0.0
564	7	88	364.0	0.0
565	8	87	416.0	0.0
566	8	87	416.0	0.0
567	20	76	1040.0	0.0
568	7	78	364.0	0.0
569	7	77	364.0	0.0
570	15	81	780.0	0.0
571	7	87	364.0	0.0
572	7	77	364.0	0.0
573	7	67	364.0	0.0
574	7	77	364.0	0.0
575	7	88	364.0	0.0
576	7	88	364.0	0.0
577	8	77	416.0	0.0
578	15	71	780.0	0.0
579	7	77	364.0	0.0
580	7	78	364.0	0.0
581	7	57	364.0	0.0
582	8	67	416.0	0.0
583	16	79	832.0	0.0
584	8	67	416.0	0.0
585	16	70	832.0	0.0
586	16	59	832.0	0.0
587	7	77	364.0	0.0
588	8	78	416.0	0.0
589	8	77	416.0	0.0
590	8	77	416.0	0.0
591	7	76	364.0	0.0
592	7	77	364.0	0.0
593	7	79	364.0	0.0
594	15	82	780.0	0.0
595	10	75	520.0	0.0
596	7	78	364.0	0.0
597	15	69	780.0	0.0
598	7	87	364.0	0.0
599	8	88	416.0	0.0
600	16	80	832.0	0.0
601	7	78	364.0	0.0
602	7	78	364.0	0.0
603	8	78	416.0	0.0
604	12	85	624.0	0.0
605	7	67	364.0	0.0
606	7	68	364.0	0.0
607	8	78	416.0	0.0
608	7	78	364.0	0.0
609	15	70	780.0	0.0
610	8	77	416.0	0.0
611	16	80	832.0	0.0
612	7	78	364.0	0.0
613	7	78	364.0	0.0
614	13	71	676.0	0.0
615	7	77	364.0	0.0
616	7	76	364.0	0.0
